"MAP_LABEL","GFE_ID","SYSTEM_SITE","GFE_TYPE","SPECIES_QUALIFIED","Y_LAT","X_LONGT","FAZ_ACRO","MAZ_ACRO","JAZ_ACRO","CU_NAME","CU_ACRO","CU_LAT","CU_LONGT","CU_TYPE","CU_INDEX","FULL_CU_IN","SBJ_ID","POP_ID","IS_INDICATOR","CMNTS","EFFECTIVE_DT","WATERSHED_CDE","FWA_WATERSHED_CDE","SPECIES","species_acronym_ncc","IndexId","coordinates_changed"
40,"1454","KWOKWESTA CREEK","Stream","CO",50.524558,-127.561968,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,39942,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-862200-00000-00000-0000-0000-000-000-000-000-000-000","930-859111-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_39942",FALSE
41,"1485","LEESON CREEK","Stream","CO",50.506759,-128.081927,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42357,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-951900-00000-00000-0000-0000-000-000-000-000-000-000","930-948514-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42357",FALSE
42,"1471","LEWIS CREEK","Stream","CO",50.584883,-127.700843,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42217,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-905900-00000-00000-0000-0000-000-000-000-000-000-000","930-903396-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42217",FALSE
43,"2614","LINK RIVER","Stream Segment","CO",50.438399,-127.390711,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,3070,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-865200-00000-00000-0000-0000-000-000-000-000-000-000","930-862497-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_3070",FALSE
44,"1481","LOWER AHWHICHAOLTO CREEK","Stream","CO",50.54607,-127.951032,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42317,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-944900-00000-00000-0000-0000-000-000-000-000-000-000","930-941462-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42317",FALSE
45,"1487","MACJACK RIVER","Stream","CO",50.591192,-128.228758,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42377,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-970700-00000-00000-0000-0000-000-000-000-000-000-000","930-968384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42377",FALSE
46,"1440","MAHATTA CREEK","Stream","CO",50.457928,-127.865259,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,39802,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-823900-00000-00000-0000-0000-000-000-000-000-000-000","930-822430-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_39802",FALSE
47,"1447","MAHWHIECLAS CREEK","Stream","CO",50.480853,-127.582901,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,39872,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-836600-00000-00000-0000-0000-000-000-000-000-000-000","930-834761-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_39872",FALSE
48,"1455","MARBLE RIVER","Stream","CO",50.533745,-127.509551,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,39952,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-865200-00000-00000-0000-0000-000-000-000-000-000-000","930-862497-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_39952",FALSE
49,"1476","MCNIFFE CREEK","Stream","CO",50.505163,-127.880015,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42267,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-927400-00000-00000-0000-0000-000-000-000-000-000-000","930-924461-075949-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42267",FALSE
50,"1441","MONKEY CREEK","Stream","CO",50.456727,-127.808777,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,39812,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-826300-00000-00000-0000-0000-000-000-000-000-000-000","930-824540-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_39812",FALSE
51,"1101","NAHWITTI RIVER","Stream","CO",50.858707,-128.008083,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52522,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-953700-00000-00000-0000-0000-000-000-000-000-000-000","920-954598-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52522",FALSE
52,"1101","NAHWITTI RIVER","Stream","CO",50.858707,-128.008083,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52523,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-953700-00000-00000-0000-0000-000-000-000-000-000-000","920-954598-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52523",FALSE
53,"1453","NEQUILTPAALIS CREEK","Stream","CO",50.442754,-127.500352,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,39932,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-853100-00000-00000-0000-0000-000-000-000-000-000-000","930-850191-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_39932",FALSE
54,"1461","NUKNIMISH CREEK","Stream","CO",50.604937,-127.650108,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42117,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-882400-00000-00000-0000-0000-000-000-000-000-000-000","930-880346-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42117",FALSE
55,"1467","PEGATTEM CREEK","Stream","CO",50.637962,-127.986138,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42177,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-896100-00000-00000-0000-0000-000-000-000-000-000-000","930-893527-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42177",FALSE
56,"1478","QUASHTIN CREEK","Stream","CO",50.510006,-128.019105,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42287,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-937700-00000-00000-0000-0000-000-000-000-000-000-000","930-934138-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42287",FALSE
57,"1106","QUATSE RIVER","Stream","CO",50.699902,-127.480136,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52567,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-896200-00000-00000-0000-0000-000-000-000-000-000-000","920-895713-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52567",FALSE
58,"1107","QUATSESE RIVER","Stream","CO",50.699629,-127.470169,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52577,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-895400-00000-00000-0000-0000-000-000-000-000-000-000","920-894036-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52577",FALSE
59,"1488","RONNING CREEK","Stream","CO",50.5894,-128.198848,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42387,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-970700-18700-00000-0000-0000-000-000-000-000-000-000","930-968384-258219-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42387",FALSE
60,"1458","RUPERT CREEK","Stream","CO",50.585172,-127.408248,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42087,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-871100-05100-00000-0000-0000-000-000-000-000-000-000","930-868633-051978-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42087",FALSE
61,"1489","SAN JOSEF RIVER","Stream","CO",50.67307,-128.272404,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42397,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-979400-00000-00000-0000-0000-000-000-000-000-000-000","930-977264-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42397",FALSE
62,"1102","SHUSHARTIE RIVER","Stream","CO",50.846653,-127.86828,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52533,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-940400-00000-00000-0000-0000-000-000-000-000-000-000","920-941384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52533",FALSE
63,"1102","SHUSHARTIE RIVER","Stream","CO",50.846653,-127.86828,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52532,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-940400-00000-00000-0000-0000-000-000-000-000-000-000","920-941384-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52532",FALSE
64,"1445","SKIDINE CREEK","Stream","CO",50.481071,-127.623559,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,39852,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-833300-00000-00000-0000-0000-000-000-000-000-000-000","930-831454-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_39852",FALSE
65,"1104","SONGHEES CREEK","Stream","CO",50.78344,-127.576085,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52547,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-914600-00000-00000-0000-0000-000-000-000-000-000-000","920-914471-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52547",FALSE
66,"1460","STEPHENS CREEK","Stream","CO",50.602151,-127.571842,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42107,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-879700-00000-00000-0000-0000-000-000-000-000-000-000","930-877495-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42107",FALSE
67,"1100","STRANDBY RIVER","Stream","CO",50.839046,-128.14726,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52513,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-969500-00000-00000-0000-0000-000-000-000-000-000-000","920-970148-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52513",FALSE
68,"1100","STRANDBY RIVER","Stream","CO",50.839046,-128.14726,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52512,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-969500-00000-00000-0000-0000-000-000-000-000-000-000","920-970148-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52512",FALSE
69,"1448","TEETA CREEK","Stream","CO",50.403373,-127.502017,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,39882,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-842200-00000-00000-0000-0000-000-000-000-000-000-000","930-840227-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_39882",FALSE
70,"1105","TSULQUATE RIVER","Stream","CO",50.730883,-127.494485,"EVI","SFj","EVI+SFj","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,52557,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","920-900500-00000-00000-0000-0000-000-000-000-000-000-000","920-900113-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_52557",FALSE
71,"1480","UPPER AHWHICHAOLTO CREEK","Stream","CO",50.528379,-127.916405,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42307,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-942100-00000-00000-0000-0000-000-000-000-000-000-000","930-938700-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42307",FALSE
72,"1452","UTLUH CREEK","Stream","CO",50.316533,-127.412433,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,39922,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-847100-31900-00000-0000-0000-000-000-000-000-000-000","930-844739-418251-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_39922",FALSE
73,"1462","WANOKANA CREEK","Stream","CO",50.603669,-127.712075,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42127,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-884200-00000-00000-0000-0000-000-000-000-000-000-000","930-882459-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42127",FALSE
74,"1459","WASHLAWLIS CREEK","Stream","CO",50.604556,-127.420284,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42097,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-872200-00000-00000-0000-0000-000-000-000-000-000-000","930-869842-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42097",FALSE
75,"1457","WAUKWAAS CREEK","Stream","CO",50.588168,-127.41834,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,41077,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-871100-00000-00000-0000-0000-000-000-000-000-000-000","930-868633-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_41077",FALSE
76,"1463","YOUGHPAN CREEK","Stream","CO",50.604231,-127.755509,"WVI","WQCI","WVI+WQCI","NAHWITTI LOWLAND","Nahwitti",50.476029752,-127.416245431,"Current","15","CO-15",2,42137,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","930-885900-00000-00000-0000-0000-000-000-000-000-000-000","930-883864-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Coho","CO","CO_42137",FALSE
2,"468","ANDESITE CREEK","Stream","PKO",54.379071,-129.125625,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,48566,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-128100-00000-00000-0000-0000-000-000-000-000-000-000","400-130835-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_48566",FALSE
3,"450","BIG FALLS CREEK","Stream","PKO",53.978954,-129.743878,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,48481,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-016500-24200-00000-0000-0000-000-000-000-000-000-000","400-014636-255848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_48481",FALSE
5,"480","CHIMDEMASH CREEK","Stream","PKO",54.664963,-128.376164,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,48086,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-248400-00000-00000-0000-0000-000-000-000-000-000-000","400-251326-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_48086",FALSE
6,"462","CLAY CREEK","Stream","PKO",54.31744,-129.205764,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,48541,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-114500-00000-00000-0000-0000-000-000-000-000-000-000","400-117071-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_48541",FALSE
7,"510","CLEARWATER CREEK","Stream","PKO",54.345155,-128.589455,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,47702,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","420-759000-00000-00000-0000-0000-000-000-000-000-000-000","400-174068-752958-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_47702",FALSE
8,"507","COLDWATER CREEK","Stream","PKO",54.38925,-128.630246,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,47687,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","420-623800-00000-00000-0000-0000-000-000-000-000-000-000","400-174068-593901-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_47687",FALSE
9,"523","DEEP CREEK","Stream","PKO",54.564456,-128.662805,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,47767,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","430-067600-00000-00000-0000-0000-000-000-000-000-000-000","400-195432-061459-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_47767",FALSE
10,"463","DOG TAG CREEK","Stream","PKO",54.291472,-129.194939,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,3242,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-113400-12300-00000-0000-0000-000-000-000-000-000-000","400-116952-085949-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_3242",FALSE
11,"447","ECSTALL RIVER","Stream","PKO",54.166361,-129.95841,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,48466,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-016500-00000-00000-0000-0000-000-000-000-000-000-000","400-014636-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_48466",FALSE
12,"474","ERLANDSEN CREEK","Stream","PKO",54.542879,-128.739752,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,48596,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-184200-17000-00000-0000-0000-000-000-000-000-000-000","400-185024-200566-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_48596",FALSE
13,"504","EXCHAMSIKS RIVER","Stream","PKO",54.332205,-129.295972,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,47672,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","410-000000-00000-00000-0000-0000-000-000-000-000-000-000","400-107640-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_47672",FALSE
14,"469","EXSTEW RIVER","Stream","PKO",54.398094,-129.059314,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,48571,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-137400-00000-00000-0000-0000-000-000-000-000-000-000","400-139009-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_48571",FALSE
15,"444","EXSTEW SLOUGH","Slough Segment","PKO",54.398678,-129.059248,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,48451,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-137400-00000-00000-0000-0000-000-000-000-000-000-000","400-139009-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_48451",FALSE
16,"482","FIDDLER CREEK","Stream","PKO",54.858914,-128.36474,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,47562,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-296800-00000-00000-0000-0000-000-000-000-000-000-000","400-299006-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_47562",FALSE
17,"460","GITNADOIX RIVER","Stream","PKO",54.317001,-129.207595,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,48531,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","400-113400-00000-00000-0000-0000-000-000-000-000-000-000","400-116952-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_48531",FALSE
18,"513","HATCHERY CREEK","Stream","PKO",54.379225,-128.550776,"LSK","NSKEst","LSK+NSKEst","LOWER SKEENA","LSK",54.614,-129.1409819,"Current","15","PKO-15",3,47717,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ","08-MAR-11","420-854300-00000-00000-0000-0000-000-000-000-000-000-000","400-174068-850668-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","Pink","PKO","PKO_47717",FALSE
