"","Yr","Area","River","Escapement","Returns","Recruits","Expl","Survival","EO","Popn","Population"
"1604",1989,12,"FRANKLIN RIVER",NA,NA,NA,0.68,NA,"O","47","FRANKLIN RIVER O"
"1605",1990,12,"FRANKLIN RIVER",NA,NA,NA,0.11,NA,"E","48","FRANKLIN RIVER E"
"1606",1991,12,"FRANKLIN RIVER",NA,NA,NA,0.48,NA,"O","47","FRANKLIN RIVER O"
"1607",1992,12,"FRANKLIN RIVER",NA,NA,NA,0.27,NA,"E","48","FRANKLIN RIVER E"
"1608",1993,12,"FRANKLIN RIVER",NA,NA,NA,0.46,NA,"O","47","FRANKLIN RIVER O"
"1609",1994,12,"FRANKLIN RIVER",NA,NA,NA,0.14,NA,"E","48","FRANKLIN RIVER E"
"1610",1995,12,"FRANKLIN RIVER",NA,NA,NA,0.46,NA,"O","47","FRANKLIN RIVER O"
"1611",1996,12,"FRANKLIN RIVER",NA,NA,NA,0.03,NA,"E","48","FRANKLIN RIVER E"
"1612",1997,12,"FRANKLIN RIVER",NA,NA,NA,0.35,NA,"O","47","FRANKLIN RIVER O"
"1613",1998,12,"FRANKLIN RIVER",NA,NA,NA,0.05,NA,"E","48","FRANKLIN RIVER E"
"1614",1999,12,"FRANKLIN RIVER",NA,NA,NA,0.01,NA,"O","47","FRANKLIN RIVER O"
"1615",2000,12,"FRANKLIN RIVER",NA,NA,NA,0.09,NA,"E","48","FRANKLIN RIVER E"
"1616",2001,12,"FRANKLIN RIVER",NA,NA,NA,0.07,NA,"O","47","FRANKLIN RIVER O"
"1617",2002,12,"FRANKLIN RIVER",NA,NA,NA,0.12,NA,"E","48","FRANKLIN RIVER E"
"1618",2003,12,"FRANKLIN RIVER",NA,NA,NA,0.21,NA,"O","47","FRANKLIN RIVER O"
"1619",2004,12,"FRANKLIN RIVER",NA,NA,NA,0.06,NA,"E","48","FRANKLIN RIVER E"
"1620",2005,12,"FRANKLIN RIVER",NA,NA,NA,0.05,NA,"O","47","FRANKLIN RIVER O"
"1621",2006,12,"FRANKLIN RIVER",NA,NA,NA,0.08,NA,"E","48","FRANKLIN RIVER E"
"1622",2007,12,"FRANKLIN RIVER",NA,NA,NA,0.02,NA,"O","47","FRANKLIN RIVER O"
"1623",2008,12,"FRANKLIN RIVER",NA,NA,NA,0.03,NA,"E","48","FRANKLIN RIVER E"
"1624",2009,12,"FRANKLIN RIVER",NA,NA,NA,0.06,NA,"O","47","FRANKLIN RIVER O"
"1625",2010,12,"FRANKLIN RIVER",NA,NA,NA,0.11,NA,"E","48","FRANKLIN RIVER E"
"1626",2011,12,"FRANKLIN RIVER",NA,NA,NA,0.32,NA,"O","47","FRANKLIN RIVER O"
"1627",2012,12,"FRANKLIN RIVER",NA,NA,NA,0.01,NA,"E","48","FRANKLIN RIVER E"
"1628",2013,12,"FRANKLIN RIVER",NA,NA,NA,0.07,NA,"O","47","FRANKLIN RIVER O"
"1629",2014,12,"FRANKLIN RIVER",NA,NA,NA,0.09,NA,"E","48","FRANKLIN RIVER E"
"1630",2015,12,"FRANKLIN RIVER",NA,NA,NA,0.01,NA,"O","47","FRANKLIN RIVER O"
"1631",2016,12,"FRANKLIN RIVER",NA,NA,NA,0.01,NA,"E","48","FRANKLIN RIVER E"
"1632",2017,12,"FRANKLIN RIVER",NA,NA,NA,NA,NA,"O","47","FRANKLIN RIVER O"
"1633",1950,12,"FULMORE RIVER",NA,NA,NA,NA,NA,"E","50","FULMORE RIVER E"
"1634",1951,12,"FULMORE RIVER",NA,NA,NA,NA,NA,"O","49","FULMORE RIVER O"
"1635",1952,12,"FULMORE RIVER",NA,NA,2083.33333333333,NA,NA,"E","50","FULMORE RIVER E"
"1636",1953,12,"FULMORE RIVER",750,NA,NA,NA,NA,"O","49","FULMORE RIVER O"
"1637",1954,12,"FULMORE RIVER",1500,2083.33333333333,3333.33333333333,0.28,0.798507696217772,"E","50","FULMORE RIVER E"
"1638",1955,12,"FULMORE RIVER",750,NA,NA,NA,NA,"O","49","FULMORE RIVER O"
"1639",1956,12,"FULMORE RIVER",1500,3333.33333333333,3947.36842105263,0.55,0.967584026261706,"E","50","FULMORE RIVER E"
"1640",1957,12,"FULMORE RIVER",1500,NA,59.5238095238095,NA,-3.22684399451738,"O","49","FULMORE RIVER O"
"1641",1958,12,"FULMORE RIVER",1500,3947.36842105263,60.9756097560976,0.62,-3.20274644293832,"E","50","FULMORE RIVER E"
"1642",1959,12,"FULMORE RIVER",25,59.5238095238095,NA,0.58,NA,"O","49","FULMORE RIVER O"
"1643",1960,12,"FULMORE RIVER",25,60.9756097560976,1530.61224489796,0.59,4.11454726953962,"E","50","FULMORE RIVER E"
"1644",1961,12,"FULMORE RIVER",NA,NA,NA,0.6,NA,"O","49","FULMORE RIVER O"
"1645",1962,12,"FULMORE RIVER",750,1530.61224489796,930.232558139535,0.51,0.215361410872155,"E","50","FULMORE RIVER E"
"1646",1963,12,"FULMORE RIVER",NA,NA,NA,0.51,NA,"O","49","FULMORE RIVER O"
"1647",1964,12,"FULMORE RIVER",400,930.232558139535,714.285714285714,0.57,0.579818495252942,"E","50","FULMORE RIVER E"
"1648",1965,12,"FULMORE RIVER",NA,NA,NA,0.38,NA,"O","49","FULMORE RIVER O"
"1649",1966,12,"FULMORE RIVER",200,714.285714285714,NA,0.72,NA,"E","50","FULMORE RIVER E"
"1650",1967,12,"FULMORE RIVER",NA,NA,NA,0.66,NA,"O","49","FULMORE RIVER O"
"1651",1968,12,"FULMORE RIVER",NA,NA,NA,0.71,NA,"E","50","FULMORE RIVER E"
"1652",1969,12,"FULMORE RIVER",NA,NA,NA,0.33,NA,"O","49","FULMORE RIVER O"
"1653",1970,12,"FULMORE RIVER",NA,NA,NA,0.67,NA,"E","50","FULMORE RIVER E"
"1654",1971,12,"FULMORE RIVER",NA,NA,NA,0.39,NA,"O","49","FULMORE RIVER O"
"1655",1972,12,"FULMORE RIVER",NA,NA,NA,0.51,NA,"E","50","FULMORE RIVER E"
"1656",1973,12,"FULMORE RIVER",NA,NA,NA,0.45,NA,"O","49","FULMORE RIVER O"
"1657",1974,12,"FULMORE RIVER",NA,NA,NA,0.57,NA,"E","50","FULMORE RIVER E"
"1658",1975,12,"FULMORE RIVER",NA,NA,NA,0.3,NA,"O","49","FULMORE RIVER O"
"1659",1976,12,"FULMORE RIVER",NA,NA,NA,0.69,NA,"E","50","FULMORE RIVER E"
"1660",1977,12,"FULMORE RIVER",NA,NA,NA,0.59,NA,"O","49","FULMORE RIVER O"
"1661",1978,12,"FULMORE RIVER",NA,NA,NA,0.54,NA,"E","50","FULMORE RIVER E"
"1662",1979,12,"FULMORE RIVER",NA,NA,NA,0.57,NA,"O","49","FULMORE RIVER O"
"1663",1980,12,"FULMORE RIVER",NA,NA,NA,0.45,NA,"E","50","FULMORE RIVER E"
"1664",1981,12,"FULMORE RIVER",NA,NA,NA,0.42,NA,"O","49","FULMORE RIVER O"
"1665",1982,12,"FULMORE RIVER",NA,NA,NA,0.25,NA,"E","50","FULMORE RIVER E"
"1666",1983,12,"FULMORE RIVER",NA,NA,NA,0.43,NA,"O","49","FULMORE RIVER O"
"1667",1984,12,"FULMORE RIVER",NA,NA,NA,0.38,NA,"E","50","FULMORE RIVER E"
"1668",1985,12,"FULMORE RIVER",NA,NA,NA,0.5,NA,"O","49","FULMORE RIVER O"
"1669",1986,12,"FULMORE RIVER",NA,NA,NA,0.26,NA,"E","50","FULMORE RIVER E"
"1670",1987,12,"FULMORE RIVER",NA,NA,NA,0.44,NA,"O","49","FULMORE RIVER O"
"1671",1988,12,"FULMORE RIVER",NA,NA,NA,0.26,NA,"E","50","FULMORE RIVER E"
"1672",1989,12,"FULMORE RIVER",NA,NA,NA,0.68,NA,"O","49","FULMORE RIVER O"
"1673",1990,12,"FULMORE RIVER",NA,NA,1506.84931506849,0.11,NA,"E","50","FULMORE RIVER E"
"1674",1991,12,"FULMORE RIVER",NA,NA,NA,0.48,NA,"O","49","FULMORE RIVER O"
"1675",1992,12,"FULMORE RIVER",1100,1506.84931506849,NA,0.27,NA,"E","50","FULMORE RIVER E"
"1676",1993,12,"FULMORE RIVER",NA,NA,NA,0.46,NA,"O","49","FULMORE RIVER O"
"1677",1994,12,"FULMORE RIVER",NA,NA,NA,0.14,NA,"E","50","FULMORE RIVER E"
"1678",1995,12,"FULMORE RIVER",NA,NA,NA,0.46,NA,"O","49","FULMORE RIVER O"
"1679",1996,12,"FULMORE RIVER",NA,NA,NA,0.03,NA,"E","50","FULMORE RIVER E"
"1680",1997,12,"FULMORE RIVER",NA,NA,NA,0.35,NA,"O","49","FULMORE RIVER O"
"1681",1998,12,"FULMORE RIVER",NA,NA,32.967032967033,0.05,NA,"E","50","FULMORE RIVER E"
"1682",1999,12,"FULMORE RIVER",NA,NA,NA,0.01,NA,"O","49","FULMORE RIVER O"
"1683",2000,12,"FULMORE RIVER",30,32.967032967033,NA,0.09,NA,"E","50","FULMORE RIVER E"
"1684",2001,12,"FULMORE RIVER",NA,NA,NA,0.07,NA,"O","49","FULMORE RIVER O"
"1685",2002,12,"FULMORE RIVER",NA,NA,NA,0.12,NA,"E","50","FULMORE RIVER E"
"1686",2003,12,"FULMORE RIVER",NA,NA,NA,0.21,NA,"O","49","FULMORE RIVER O"
"1687",2004,12,"FULMORE RIVER",NA,NA,NA,0.06,NA,"E","50","FULMORE RIVER E"
"1688",2005,12,"FULMORE RIVER",NA,NA,NA,0.05,NA,"O","49","FULMORE RIVER O"
"1689",2006,12,"FULMORE RIVER",NA,NA,NA,0.08,NA,"E","50","FULMORE RIVER E"
"1690",2007,12,"FULMORE RIVER",NA,NA,NA,0.02,NA,"O","49","FULMORE RIVER O"
"1691",2008,12,"FULMORE RIVER",NA,NA,NA,0.03,NA,"E","50","FULMORE RIVER E"
"1692",2009,12,"FULMORE RIVER",NA,NA,NA,0.06,NA,"O","49","FULMORE RIVER O"
"1693",2010,12,"FULMORE RIVER",NA,NA,NA,0.11,NA,"E","50","FULMORE RIVER E"
"1694",2011,12,"FULMORE RIVER",NA,NA,NA,0.32,NA,"O","49","FULMORE RIVER O"
"1695",2012,12,"FULMORE RIVER",NA,NA,NA,0.01,NA,"E","50","FULMORE RIVER E"
"1696",2013,12,"FULMORE RIVER",NA,NA,NA,0.07,NA,"O","49","FULMORE RIVER O"
"1697",2014,12,"FULMORE RIVER",NA,NA,NA,0.09,NA,"E","50","FULMORE RIVER E"
"1698",2015,12,"FULMORE RIVER",NA,NA,NA,0.01,NA,"O","49","FULMORE RIVER O"
"1699",2016,12,"FULMORE RIVER",NA,NA,NA,0.01,NA,"E","50","FULMORE RIVER E"
"1700",2017,12,"FULMORE RIVER",NA,NA,NA,NA,NA,"O","49","FULMORE RIVER O"
"1701",1950,12,"GILFORD CREEK",NA,NA,NA,NA,NA,"E","52","GILFORD CREEK E"
"1702",1951,12,"GILFORD CREEK",NA,NA,NA,NA,NA,"O","51","GILFORD CREEK O"
"1703",1952,12,"GILFORD CREEK",NA,NA,277.777777777778,NA,NA,"E","52","GILFORD CREEK E"
"1704",1953,12,"GILFORD CREEK",200,NA,NA,NA,NA,"O","51","GILFORD CREEK O"
"1705",1954,12,"GILFORD CREEK",200,277.777777777778,166.666666666667,0.28,-0.182321556793954,"E","52","GILFORD CREEK E"
"1706",1955,12,"GILFORD CREEK",400,NA,NA,NA,NA,"O","51","GILFORD CREEK O"
"1707",1956,12,"GILFORD CREEK",75,166.666666666667,526.315789473684,0.55,1.94841327927343,"E","52","GILFORD CREEK E"
"1708",1957,12,"GILFORD CREEK",750,NA,NA,NA,NA,"O","51","GILFORD CREEK O"
"1709",1958,12,"GILFORD CREEK",200,526.315789473684,487.80487804878,0.62,0.891598119283784,"E","52","GILFORD CREEK E"
"1710",1959,12,"GILFORD CREEK",NA,NA,62.5,0.58,NA,"O","51","GILFORD CREEK O"
"1711",1960,12,"GILFORD CREEK",200,487.80487804878,1530.61224489796,0.59,2.03510572785978,"E","52","GILFORD CREEK E"
"1712",1961,12,"GILFORD CREEK",25,62.5,816.326530612245,0.6,3.48593861011725,"O","51","GILFORD CREEK O"
"1713",1962,12,"GILFORD CREEK",750,1530.61224489796,1744.18604651163,0.51,0.843970070294529,"E","52","GILFORD CREEK E"
"1714",1963,12,"GILFORD CREEK",400,816.326530612245,120.967741935484,0.51,-1.19594063262867,"O","51","GILFORD CREEK O"
"1715",1964,12,"GILFORD CREEK",750,1744.18604651163,89.2857142857143,0.57,-2.12823170584927,"E","52","GILFORD CREEK E"
"1716",1965,12,"GILFORD CREEK",75,120.967741935484,73.5294117647059,0.38,-0.0198026272961796,"O","51","GILFORD CREEK O"
"1717",1966,12,"GILFORD CREEK",25,89.2857142857143,86.2068965517241,0.72,1.23787435600162,"E","52","GILFORD CREEK E"
"1718",1967,12,"GILFORD CREEK",25,73.5294117647059,NA,0.66,NA,"O","51","GILFORD CREEK O"
"1719",1968,12,"GILFORD CREEK",25,86.2068965517241,NA,0.71,NA,"E","52","GILFORD CREEK E"
"1720",1969,12,"GILFORD CREEK",NA,NA,NA,0.33,NA,"O","51","GILFORD CREEK O"
"1721",1970,12,"GILFORD CREEK",NA,NA,51.0204081632653,0.67,NA,"E","52","GILFORD CREEK E"
"1722",1971,12,"GILFORD CREEK",NA,NA,45.4545454545455,0.39,NA,"O","51","GILFORD CREEK O"
"1723",1972,12,"GILFORD CREEK",25,51.0204081632653,58.1395348837209,0.51,0.843970070294529,"E","52","GILFORD CREEK E"
"1724",1973,12,"GILFORD CREEK",25,45.4545454545455,35.7142857142857,0.45,0.356674943938732,"O","51","GILFORD CREEK O"
"1725",1974,12,"GILFORD CREEK",25,58.1395348837209,NA,0.57,NA,"E","52","GILFORD CREEK E"
"1726",1975,12,"GILFORD CREEK",25,35.7142857142857,NA,0.3,NA,"O","51","GILFORD CREEK O"
"1727",1976,12,"GILFORD CREEK",NA,NA,NA,0.69,NA,"E","52","GILFORD CREEK E"
"1728",1977,12,"GILFORD CREEK",NA,NA,NA,0.59,NA,"O","51","GILFORD CREEK O"
"1729",1978,12,"GILFORD CREEK",NA,NA,NA,0.54,NA,"E","52","GILFORD CREEK E"
"1730",1979,12,"GILFORD CREEK",NA,NA,NA,0.57,NA,"O","51","GILFORD CREEK O"
"1731",1980,12,"GILFORD CREEK",NA,NA,266.666666666667,0.45,NA,"E","52","GILFORD CREEK E"
"1732",1981,12,"GILFORD CREEK",NA,NA,NA,0.42,NA,"O","51","GILFORD CREEK O"
"1733",1982,12,"GILFORD CREEK",200,266.666666666667,NA,0.25,NA,"E","52","GILFORD CREEK E"
"1734",1983,12,"GILFORD CREEK",NA,NA,NA,0.43,NA,"O","51","GILFORD CREEK O"
"1735",1984,12,"GILFORD CREEK",NA,NA,270.27027027027,0.38,NA,"E","52","GILFORD CREEK E"
"1736",1985,12,"GILFORD CREEK",NA,NA,NA,0.5,NA,"O","51","GILFORD CREEK O"
"1737",1986,12,"GILFORD CREEK",200,270.27027027027,NA,0.26,NA,"E","52","GILFORD CREEK E"
"1738",1987,12,"GILFORD CREEK",NA,NA,NA,0.44,NA,"O","51","GILFORD CREEK O"
"1739",1988,12,"GILFORD CREEK",NA,NA,NA,0.26,NA,"E","52","GILFORD CREEK E"
"1740",1989,12,"GILFORD CREEK",NA,NA,NA,0.68,NA,"O","51","GILFORD CREEK O"
"1741",1990,12,"GILFORD CREEK",NA,NA,NA,0.11,NA,"E","52","GILFORD CREEK E"
"1742",1991,12,"GILFORD CREEK",NA,NA,NA,0.48,NA,"O","51","GILFORD CREEK O"
"1743",1992,12,"GILFORD CREEK",NA,NA,13.953488372093,0.27,NA,"E","52","GILFORD CREEK E"
"1744",1993,12,"GILFORD CREEK",NA,NA,NA,0.46,NA,"O","51","GILFORD CREEK O"
"1745",1994,12,"GILFORD CREEK",12,13.953488372093,103.092783505155,0.14,2.1507227436848,"E","52","GILFORD CREEK E"
"1746",1995,12,"GILFORD CREEK",NA,NA,NA,0.46,NA,"O","51","GILFORD CREEK O"
"1747",1996,12,"GILFORD CREEK",100,103.092783505155,157.894736842105,0.03,0.456758402495715,"E","52","GILFORD CREEK E"
"1748",1997,12,"GILFORD CREEK",NA,NA,NA,0.35,NA,"O","51","GILFORD CREEK O"
"1749",1998,12,"GILFORD CREEK",150,157.894736842105,109.89010989011,0.05,-0.311154428636923,"E","52","GILFORD CREEK E"
"1750",1999,12,"GILFORD CREEK",NA,NA,241.935483870968,0.01,NA,"O","51","GILFORD CREEK O"
"1751",2000,12,"GILFORD CREEK",100,109.89010989011,NA,0.09,NA,"E","52","GILFORD CREEK E"
"1752",2001,12,"GILFORD CREEK",225,241.935483870968,NA,0.07,NA,"O","51","GILFORD CREEK O"
"1753",2002,12,"GILFORD CREEK",NA,NA,NA,0.12,NA,"E","52","GILFORD CREEK E"
"1754",2003,12,"GILFORD CREEK",NA,NA,NA,0.21,NA,"O","51","GILFORD CREEK O"
"1755",2004,12,"GILFORD CREEK",NA,NA,NA,0.06,NA,"E","52","GILFORD CREEK E"
"1756",2005,12,"GILFORD CREEK",NA,NA,27.5510204081633,0.05,NA,"O","51","GILFORD CREEK O"
"1757",2006,12,"GILFORD CREEK",NA,NA,NA,0.08,NA,"E","52","GILFORD CREEK E"
"1758",2007,12,"GILFORD CREEK",27,27.5510204081633,5.31914893617021,0.02,-1.62452354985214,"O","51","GILFORD CREEK O"
"1759",2008,12,"GILFORD CREEK",NA,NA,29.2134831460674,0.03,NA,"E","52","GILFORD CREEK E"
"1760",2009,12,"GILFORD CREEK",5,5.31914893617021,2.94117647058824,0.06,-0.53062825106217,"O","51","GILFORD CREEK O"
"1761",2010,12,"GILFORD CREEK",26,29.2134831460674,130.30303030303,0.11,1.61176620219369,"E","52","GILFORD CREEK E"
"1762",2011,12,"GILFORD CREEK",2,2.94117647058824,53.7634408602151,0.32,3.29144651770304,"O","51","GILFORD CREEK O"
"1763",2012,12,"GILFORD CREEK",129,130.30303030303,80.2197802197802,0.01,-0.47504228374204,"E","52","GILFORD CREEK E"
"1764",2013,12,"GILFORD CREEK",50,53.7634408602151,NA,0.07,NA,"O","51","GILFORD CREEK O"
"1765",2014,12,"GILFORD CREEK",73,80.2197802197802,NA,0.09,NA,"E","52","GILFORD CREEK E"
"1766",2015,12,"GILFORD CREEK",NA,NA,NA,0.01,NA,"O","51","GILFORD CREEK O"
"1767",2016,12,"GILFORD CREEK",NA,NA,NA,0.01,NA,"E","52","GILFORD CREEK E"
"1768",2017,12,"GILFORD CREEK",NA,NA,NA,NA,NA,"O","51","GILFORD CREEK O"
"1769",1950,12,"GLENDALE CREEK",NA,NA,NA,NA,NA,"E","54","GLENDALE CREEK E"
"1770",1951,12,"GLENDALE CREEK",NA,NA,NA,NA,NA,"O","53","GLENDALE CREEK O"
"1771",1952,12,"GLENDALE CREEK",NA,NA,20833.3333333333,NA,NA,"E","54","GLENDALE CREEK E"
"1772",1953,12,"GLENDALE CREEK",7500,NA,NA,NA,NA,"O","53","GLENDALE CREEK O"
"1773",1954,12,"GLENDALE CREEK",15000,20833.3333333333,166666.666666667,0.28,2.40794560865187,"E","54","GLENDALE CREEK E"
"1774",1955,12,"GLENDALE CREEK",75000,NA,NA,NA,NA,"O","53","GLENDALE CREEK O"
"1775",1956,12,"GLENDALE CREEK",75000,166666.666666667,197368.421052632,0.55,0.967584026261705,"E","54","GLENDALE CREEK E"
"1776",1957,12,"GLENDALE CREEK",75000,NA,416666.666666667,NA,1.71479842809193,"O","53","GLENDALE CREEK O"
"1777",1958,12,"GLENDALE CREEK",75000,197368.421052632,85365.8536585366,0.62,0.129458067236887,"E","54","GLENDALE CREEK E"
"1778",1959,12,"GLENDALE CREEK",175000,416666.666666667,250000,0.58,0.356674943938732,"O","53","GLENDALE CREEK O"
"1779",1960,12,"GLENDALE CREEK",35000,85365.8536585366,204081.632653061,0.59,1.76317201237614,"E","54","GLENDALE CREEK E"
"1780",1961,12,"GLENDALE CREEK",100000,250000,204081.632653061,0.6,0.713349887877465,"O","53","GLENDALE CREEK O"
"1781",1962,12,"GLENDALE CREEK",100000,204081.632653061,348837.209302326,0.51,1.24943517840269,"E","54","GLENDALE CREEK E"
"1782",1963,12,"GLENDALE CREEK",100000,204081.632653061,80645.1612903226,0.51,-0.215111379616946,"O","53","GLENDALE CREEK O"
"1783",1964,12,"GLENDALE CREEK",150000,348837.209302326,785714.285714286,0.57,1.65595792806899,"E","54","GLENDALE CREEK E"
"1784",1965,12,"GLENDALE CREEK",50000,80645.1612903226,220588.235294118,0.38,1.48427476948009,"O","53","GLENDALE CREEK O"
"1785",1966,12,"GLENDALE CREEK",220000,785714.285714286,560344.827586207,0.72,0.934924811419048,"E","54","GLENDALE CREEK E"
"1786",1967,12,"GLENDALE CREEK",75000,220588.235294118,74626.8656716418,0.66,-0.00498754151103894,"O","53","GLENDALE CREEK O"
"1787",1968,12,"GLENDALE CREEK",162500,560344.827586207,454545.454545455,0.71,1.02861991684807,"E","54","GLENDALE CREEK E"
"1788",1969,12,"GLENDALE CREEK",50000,74626.8656716418,245901.639344262,0.33,1.59290861048289,"O","53","GLENDALE CREEK O"
"1789",1970,12,"GLENDALE CREEK",150000,454545.454545455,19387.7551020408,0.67,-2.0459936076123,"E","54","GLENDALE CREEK E"
"1790",1971,12,"GLENDALE CREEK",150000,245901.639344262,363636.363636364,0.39,0.885519073207401,"O","53","GLENDALE CREEK O"
"1791",1972,12,"GLENDALE CREEK",9500,19387.7551020408,69767.4418604651,0.51,1.99387565335019,"E","54","GLENDALE CREEK E"
"1792",1973,12,"GLENDALE CREEK",200000,363636.363636364,214285.714285714,0.45,0.0689928714869514,"O","53","GLENDALE CREEK O"
"1793",1974,12,"GLENDALE CREEK",30000,69767.4418604651,483870.967741935,0.57,2.78062089393705,"E","54","GLENDALE CREEK E"
"1794",1975,12,"GLENDALE CREEK",150000,214285.714285714,39024.3902439024,0.3,-1.34644845257269,"O","53","GLENDALE CREEK O"
"1795",1976,12,"GLENDALE CREEK",150000,483870.967741935,597826.086956522,0.69,1.38266459306931,"E","54","GLENDALE CREEK E"
"1796",1977,12,"GLENDALE CREEK",16000,39024.3902439024,48837.2093023256,0.59,1.11590378577817,"O","53","GLENDALE CREEK O"
"1797",1978,12,"GLENDALE CREEK",275000,597826.086956522,454545.454545455,0.54,0.502526820951296,"E","54","GLENDALE CREEK E"
"1798",1979,12,"GLENDALE CREEK",21000,48837.2093023256,34482.7586206897,0.57,0.49593701127224,"O","53","GLENDALE CREEK O"
"1799",1980,12,"GLENDALE CREEK",250000,454545.454545455,2e+05,0.45,-0.22314355131421,"E","54","GLENDALE CREEK E"
"1800",1981,12,"GLENDALE CREEK",20000,34482.7586206897,526315.789473684,0.42,3.27016911925575,"O","53","GLENDALE CREEK O"
"1801",1982,12,"GLENDALE CREEK",150000,2e+05,137096.774193548,0.25,-0.0899482366629394,"E","54","GLENDALE CREEK E"
"1802",1983,12,"GLENDALE CREEK",300000,526315.789473684,280000,0.43,-0.0689928714869514,"O","53","GLENDALE CREEK O"
"1803",1984,12,"GLENDALE CREEK",85000,137096.774193548,324324.324324324,0.38,1.3390927596356,"E","54","GLENDALE CREEK E"
"1804",1985,12,"GLENDALE CREEK",140000,280000,10714.2857142857,0.5,-2.57006445812831,"O","53","GLENDALE CREEK O"
"1805",1986,12,"GLENDALE CREEK",240000,324324.324324324,405405.405405405,0.26,0.524248644098131,"E","54","GLENDALE CREEK E"
"1806",1987,12,"GLENDALE CREEK",6000,10714.2857142857,31250,0.44,1.65025990695436,"O","53","GLENDALE CREEK O"
"1807",1988,12,"GLENDALE CREEK",300000,405405.405405405,393258.426966292,0.26,0.27068449608321,"E","54","GLENDALE CREEK E"
"1808",1989,12,"GLENDALE CREEK",10000,31250,33653.8461538462,0.68,1.21354225534209,"O","53","GLENDALE CREEK O"
"1809",1990,12,"GLENDALE CREEK",350000,393258.426966292,958904.109589041,0.11,1.00785792539965,"E","54","GLENDALE CREEK E"
"1810",1991,12,"GLENDALE CREEK",17500,33653.8461538462,370370.37037037,0.48,3.05230262504239,"O","53","GLENDALE CREEK O"
"1811",1992,12,"GLENDALE CREEK",700000,958904.109589041,223255.813953488,0.27,-1.14276207328104,"E","54","GLENDALE CREEK E"
"1812",1993,12,"GLENDALE CREEK",200000,370370.37037037,148148.148148148,0.46,-0.300104592450338,"O","53","GLENDALE CREEK O"
"1813",1994,12,"GLENDALE CREEK",192000,223255.813953488,443298.969072165,0.14,0.836749044144535,"E","54","GLENDALE CREEK E"
"1814",1995,12,"GLENDALE CREEK",80000,148148.148148148,492307.692307692,0.46,1.81707727721234,"O","53","GLENDALE CREEK O"
"1815",1996,12,"GLENDALE CREEK",430000,443298.969072165,526315.789473684,0.03,0.202116184122134,"E","54","GLENDALE CREEK E"
"1816",1997,12,"GLENDALE CREEK",320000,492307.692307692,555555.555555556,0.35,0.551647618286246,"O","53","GLENDALE CREEK O"
"1817",1998,12,"GLENDALE CREEK",500000,526315.789473684,835164.835164835,0.05,0.513021014329426,"E","54","GLENDALE CREEK E"
"1818",1999,12,"GLENDALE CREEK",550000,555555.555555556,1451612.90322581,0.01,0.970512286040794,"O","53","GLENDALE CREEK O"
"1819",2000,12,"GLENDALE CREEK",760000,835164.835164835,20692.0454545455,0.09,-3.60356908442079,"E","54","GLENDALE CREEK E"
"1820",2001,12,"GLENDALE CREEK",1350000,1451612.90322581,204906.329113924,0.07,-1.88530692787051,"O","53","GLENDALE CREEK O"
"1821",2002,12,"GLENDALE CREEK",18209,20692.0454545455,703784.042553192,0.12,3.65455557401161,"E","54","GLENDALE CREEK E"
"1822",2003,12,"GLENDALE CREEK",161876,204906.329113924,235204.210526316,0.21,0.373623507720937,"O","53","GLENDALE CREEK O"
"1823",2004,12,"GLENDALE CREEK",661557,703784.042553192,197630.434782609,0.06,-1.20819735201047,"E","54","GLENDALE CREEK E"
"1824",2005,12,"GLENDALE CREEK",223444,235204.210526316,269670.408163265,0.05,0.188039679443698,"O","53","GLENDALE CREEK O"
"1825",2006,12,"GLENDALE CREEK",181820,197630.434782609,15551.5463917526,0.08,-2.45885710659798,"E","54","GLENDALE CREEK E"
"1826",2007,12,"GLENDALE CREEK",264277,269670.408163265,520237.234042553,0.02,0.677287131351222,"O","53","GLENDALE CREEK O"
"1827",2008,12,"GLENDALE CREEK",15085,15551.5463917526,17971.9101123596,0.03,0.175109117046408,"E","54","GLENDALE CREEK E"
"1828",2009,12,"GLENDALE CREEK",489023,520237.234042553,179613.235294118,0.06,-1.00160367680633,"O","53","GLENDALE CREEK O"
"1829",2010,12,"GLENDALE CREEK",15995,17971.9101123596,167400,0.11,2.34810998465389,"E","54","GLENDALE CREEK E"
"1830",2011,12,"GLENDALE CREEK",122137,179613.235294118,293532.258064516,0.32,0.876844175940035,"O","53","GLENDALE CREEK O"
"1831",2012,12,"GLENDALE CREEK",165726,167400,367056.043956044,0.01,0.795178722521062,"E","54","GLENDALE CREEK E"
"1832",2013,12,"GLENDALE CREEK",272985,293532.258064516,NA,0.07,NA,"O","53","GLENDALE CREEK O"
"1833",2014,12,"GLENDALE CREEK",334021,367056.043956044,NA,0.09,NA,"E","54","GLENDALE CREEK E"
"1834",2015,12,"GLENDALE CREEK",NA,NA,NA,0.01,NA,"O","53","GLENDALE CREEK O"
"1835",2016,12,"GLENDALE CREEK",NA,NA,NA,0.01,NA,"E","54","GLENDALE CREEK E"
"1836",2017,12,"GLENDALE CREEK",NA,NA,NA,NA,NA,"O","53","GLENDALE CREEK O"
"1837",1950,12,"HAND CREEK",NA,NA,NA,NA,NA,"E","56","HAND CREEK E"
"1838",1951,12,"HAND CREEK",NA,NA,NA,NA,NA,"O","55","HAND CREEK O"
