"","Yr","Area","River","Spawners","Returns","Recruits","Expl","Survival"
"1646",1963,12,"FULMORE RIVER",1500,NA,NA,NA,NA
"1647",1964,12,"FULMORE RIVER",1500,NA,NA,NA,NA
"1648",1965,12,"FULMORE RIVER",1500,NA,NA,NA,NA
"1649",1966,12,"FULMORE RIVER",3500,NA,NA,NA,NA
"1650",1967,12,"FULMORE RIVER",25,NA,NA,NA,NA
"1651",1968,12,"FULMORE RIVER",200,NA,NA,NA,NA
"1652",1969,12,"FULMORE RIVER",1500,NA,NA,NA,NA
"1653",1970,12,"FULMORE RIVER",1500,NA,NA,NA,NA
"1654",1971,12,"FULMORE RIVER",400,NA,NA,NA,NA
"1655",1972,12,"FULMORE RIVER",750,NA,8333,NA,2.40790560785185
"1656",1973,12,"FULMORE RIVER",2000,NA,25000,NA,2.52572864430826
"1657",1974,12,"FULMORE RIVER",6000,NA,5455,NA,-0.0952268499430208
"1658",1975,12,"FULMORE RIVER",3000,8333,417,NA,-1.97328134585145
"1659",1976,12,"FULMORE RIVER",2000,25000,714,NA,-1.0300194972025
"1660",1977,12,"FULMORE RIVER",1200,5455,2500,NA,0.733969175080201
"1661",1978,12,"FULMORE RIVER",100,417,NA,NA,NA
"1662",1979,12,"FULMORE RIVER",200,714,3000,NA,2.70805020110221
"1663",1980,12,"FULMORE RIVER",500,2500,2381,NA,1.56066774806467
"1664",1981,12,"FULMORE RIVER",NA,NA,NA,NA,NA
"1665",1982,12,"FULMORE RIVER",750,3000,NA,NA,NA
"1666",1983,12,"FULMORE RIVER",500,2381,5172,0.866057834110302,2.33640664146956
"1667",1984,12,"FULMORE RIVER",60,NA,NA,0.775693911882616,NA
"1668",1985,12,"FULMORE RIVER",NA,NA,NA,0.804617873469269,NA
"1669",1986,12,"FULMORE RIVER",1500,5172,NA,0.736636297568,NA
"1670",1987,12,"FULMORE RIVER",NA,NA,NA,0.620278215303934,NA
"1671",1988,12,"FULMORE RIVER",NA,NA,NA,0.662968422357177,NA
"1672",1989,12,"FULMORE RIVER",NA,NA,NA,0.758563000132309,NA
"1673",1990,12,"FULMORE RIVER",NA,NA,NA,0.551771761004763,NA
"1674",1991,12,"FULMORE RIVER",250,NA,NA,0.610236891943533,NA
"1675",1992,12,"FULMORE RIVER",NA,NA,NA,0.846200576578609,NA
"1676",1993,12,"FULMORE RIVER",NA,NA,NA,0.870616228783584,NA
"1677",1994,12,"FULMORE RIVER",NA,NA,NA,0.688336172661556,NA
"1678",1995,12,"FULMORE RIVER",100,NA,258,0.41545900740463,0.947789398933526
"1679",1996,12,"FULMORE RIVER",NA,NA,NA,0.154973827940401,NA
"1680",1997,12,"FULMORE RIVER",NA,NA,1824.00706525546,0.272777956656083,NA
"1681",1998,12,"FULMORE RIVER",250,258,NA,0.000583078137170725,NA
"1682",1999,12,"FULMORE RIVER",NA,NA,NA,0.00581807086852831,NA
"1683",2000,12,"FULMORE RIVER",1750,1824.00706525546,NA,0.000108918915671366,NA
"1684",2001,12,"FULMORE RIVER",NA,NA,NA,6.58172515066211e-05,NA
"1685",2002,12,"FULMORE RIVER",NA,NA,NA,0.000110894640181671,NA
"1686",2003,12,"FULMORE RIVER",NA,NA,NA,0,NA
"1687",2004,12,"FULMORE RIVER",NA,NA,NA,8.1251212286391e-05,NA
"1688",2005,12,"FULMORE RIVER",NA,NA,NA,0.00158566847902736,NA
"1689",2006,12,"FULMORE RIVER",NA,NA,NA,5.56360213756606e-05,NA
"1690",2007,12,"FULMORE RIVER",NA,NA,NA,0,NA
"1691",2008,12,"FULMORE RIVER",NA,NA,NA,2.769197939731e-05,NA
"1692",2009,12,"FULMORE RIVER",NA,NA,NA,5.19287752240718e-05,NA
"1693",2010,12,"FULMORE RIVER",NA,NA,NA,0.00888074071042353,NA
"1694",2011,12,"FULMORE RIVER",NA,NA,21.0857815019239,0.0142797614832157,NA
"1695",2012,12,"FULMORE RIVER",NA,NA,NA,7.68815624118097e-05,NA
"1696",2013,12,"FULMORE RIVER",NA,NA,56.3918764729112,0.0164482623776054,NA
"1697",2014,12,"FULMORE RIVER",20,21.0857815019239,597.330982864299,0.0114891151557245,3.39673909636803
"1698",2015,12,"FULMORE RIVER",NA,NA,NA,0.0135595098287899,NA
"1699",2016,12,"FULMORE RIVER",54,56.3918764729112,NA,0.00202795595384339,NA
"1700",2017,12,"FULMORE RIVER",571,597.330982864299,NA,0.00376400621171083,NA
"1701",1950,12,"GILFORD CREEK",NA,NA,NA,NA,NA
"1702",1951,12,"GILFORD CREEK",NA,NA,NA,NA,NA
"1703",1952,12,"GILFORD CREEK",NA,NA,NA,NA,NA
"1704",1953,12,"GILFORD CREEK",1500,NA,NA,NA,NA
"1705",1954,12,"GILFORD CREEK",750,NA,NA,NA,NA
"1706",1955,12,"GILFORD CREEK",1500,NA,NA,NA,NA
"1707",1956,12,"GILFORD CREEK",750,NA,NA,NA,NA
"1708",1957,12,"GILFORD CREEK",3500,NA,NA,NA,NA
"1709",1958,12,"GILFORD CREEK",1500,NA,NA,NA,NA
"1710",1959,12,"GILFORD CREEK",200,NA,NA,NA,NA
"1711",1960,12,"GILFORD CREEK",750,NA,NA,NA,NA
"1712",1961,12,"GILFORD CREEK",75,NA,NA,NA,NA
"1713",1962,12,"GILFORD CREEK",750,NA,NA,NA,NA
"1714",1963,12,"GILFORD CREEK",750,NA,NA,NA,NA
"1715",1964,12,"GILFORD CREEK",400,NA,NA,NA,NA
"1716",1965,12,"GILFORD CREEK",75,NA,NA,NA,NA
"1717",1966,12,"GILFORD CREEK",75,NA,NA,NA,NA
"1718",1967,12,"GILFORD CREEK",75,NA,NA,NA,NA
"1719",1968,12,"GILFORD CREEK",75,NA,NA,NA,NA
"1720",1969,12,"GILFORD CREEK",25,NA,NA,NA,NA
"1721",1970,12,"GILFORD CREEK",75,NA,NA,NA,NA
"1722",1971,12,"GILFORD CREEK",NA,NA,NA,NA,NA
"1723",1972,12,"GILFORD CREEK",25,NA,278,NA,2.40874528882244
"1724",1973,12,"GILFORD CREEK",300,NA,938,NA,1.13996747435002
"1725",1974,12,"GILFORD CREEK",200,NA,341,NA,0.53356511073548
"1726",1975,12,"GILFORD CREEK",100,278,208,NA,0.732367893713227
"1727",1976,12,"GILFORD CREEK",75,938,179,NA,0.869897692304445
"1728",1977,12,"GILFORD CREEK",75,341,NA,NA,NA
"1729",1978,12,"GILFORD CREEK",50,208,NA,NA,NA
"1730",1979,12,"GILFORD CREEK",50,179,NA,NA,NA
"1731",1980,12,"GILFORD CREEK",NA,NA,NA,NA,NA
"1732",1981,12,"GILFORD CREEK",NA,NA,NA,NA,NA
"1733",1982,12,"GILFORD CREEK",NA,NA,NA,NA,NA
"1734",1983,12,"GILFORD CREEK",NA,NA,NA,0.866057834110302,NA
"1735",1984,12,"GILFORD CREEK",NA,NA,NA,0.775693911882616,NA
"1736",1985,12,"GILFORD CREEK",NA,NA,NA,0.804617873469269,NA
"1737",1986,12,"GILFORD CREEK",200,NA,606,0.736636297568,1.10856261952128
"1738",1987,12,"GILFORD CREEK",NA,NA,NA,0.620278215303934,NA
"1739",1988,12,"GILFORD CREEK",3500,NA,NA,0.662968422357177,NA
"1740",1989,12,"GILFORD CREEK",200,606,NA,0.758563000132309,NA
"1741",1990,12,"GILFORD CREEK",NA,NA,NA,0.551771761004763,NA
"1742",1991,12,"GILFORD CREEK",NA,NA,NA,0.610236891943533,NA
"1743",1992,12,"GILFORD CREEK",NA,NA,NA,0.846200576578609,NA
"1744",1993,12,"GILFORD CREEK",6,NA,NA,0.870616228783584,NA
"1745",1994,12,"GILFORD CREEK",NA,NA,NA,0.688336172661556,NA
"1746",1995,12,"GILFORD CREEK",NA,NA,NA,0.41545900740463,NA
"1747",1996,12,"GILFORD CREEK",1,NA,NA,0.154973827940401,NA
"1748",1997,12,"GILFORD CREEK",NA,NA,156.343462736182,0.272777956656083,NA
"1749",1998,12,"GILFORD CREEK",4500,NA,NA,0.000583078137170725,NA
"1750",1999,12,"GILFORD CREEK",200,NA,NA,0.00581807086852831,NA
"1751",2000,12,"GILFORD CREEK",150,156.343462736182,NA,0.000108918915671366,NA
"1752",2001,12,"GILFORD CREEK",NA,NA,NA,6.58172515066211e-05,NA
"1753",2002,12,"GILFORD CREEK",NA,NA,197.284134042207,0.000110894640181671,NA
"1754",2003,12,"GILFORD CREEK",NA,NA,NA,0,NA
"1755",2004,12,"GILFORD CREEK",NA,NA,NA,8.1251212286391e-05,NA
"1756",2005,12,"GILFORD CREEK",189,197.284134042207,NA,0.00158566847902736,NA
"1757",2006,12,"GILFORD CREEK",NA,NA,72.9561243775335,5.56360213756606e-05,NA
"1758",2007,12,"GILFORD CREEK",NA,NA,10.5151445372176,0,NA
"1759",2008,12,"GILFORD CREEK",NA,NA,193.481113604188,2.769197939731e-05,NA
"1760",2009,12,"GILFORD CREEK",70,72.9561243775335,1417.46864525091,5.19287752240718e-05,3.00813267355546
"1761",2010,12,"GILFORD CREEK",10,10.5151445372176,52.9802442840635,0.00888074071042353,1.66733400171247
"1762",2011,12,"GILFORD CREEK",183,193.481113604188,52.7144537548097,0.0142797614832157,-1.24459647010067
"1763",2012,12,"GILFORD CREEK",1360,1417.46864525091,NA,7.68815624118097e-05,NA
"1764",2013,12,"GILFORD CREEK",50,52.9802442840635,NA,0.0164482623776054,NA
"1765",2014,12,"GILFORD CREEK",50,52.7144537548097,5.23056902683274,0.0114891151557245,-2.25750293272803
"1766",2015,12,"GILFORD CREEK",NA,NA,NA,0.0135595098287899,NA
"1767",2016,12,"GILFORD CREEK",NA,NA,NA,0.00202795595384339,NA
"1768",2017,12,"GILFORD CREEK",5,5.23056902683274,NA,0.00376400621171083,NA
"1769",1950,12,"GLENDALE CREEK",NA,NA,NA,NA,NA
"1770",1951,12,"GLENDALE CREEK",NA,NA,NA,NA,NA
"1771",1952,12,"GLENDALE CREEK",NA,NA,NA,NA,NA
"1772",1953,12,"GLENDALE CREEK",7500,NA,NA,NA,NA
"1773",1954,12,"GLENDALE CREEK",750,NA,NA,NA,NA
"1774",1955,12,"GLENDALE CREEK",7500,NA,NA,NA,NA
"1775",1956,12,"GLENDALE CREEK",3500,NA,NA,NA,NA
"1776",1957,12,"GLENDALE CREEK",1500,NA,NA,NA,NA
"1777",1958,12,"GLENDALE CREEK",7500,NA,NA,NA,NA
"1778",1959,12,"GLENDALE CREEK",3500,NA,NA,NA,NA
"1779",1960,12,"GLENDALE CREEK",1500,NA,NA,NA,NA
"1780",1961,12,"GLENDALE CREEK",3500,NA,NA,NA,NA
"1781",1962,12,"GLENDALE CREEK",3500,NA,NA,NA,NA
"1782",1963,12,"GLENDALE CREEK",1500,NA,NA,NA,NA
"1783",1964,12,"GLENDALE CREEK",1500,NA,NA,NA,NA
"1784",1965,12,"GLENDALE CREEK",400,NA,NA,NA,NA
"1785",1966,12,"GLENDALE CREEK",400,NA,NA,NA,NA
"1786",1967,12,"GLENDALE CREEK",200,NA,NA,NA,NA
"1787",1968,12,"GLENDALE CREEK",400,NA,NA,NA,NA
"1788",1969,12,"GLENDALE CREEK",NA,NA,NA,NA,NA
"1789",1970,12,"GLENDALE CREEK",200,NA,NA,NA,NA
"1790",1971,12,"GLENDALE CREEK",200,NA,NA,NA,NA
"1791",1972,12,"GLENDALE CREEK",75,NA,69,NA,-0.083381608939051
"1792",1973,12,"GLENDALE CREEK",50,NA,NA,NA,NA
"1793",1974,12,"GLENDALE CREEK",NA,NA,NA,NA,NA
"1794",1975,12,"GLENDALE CREEK",25,69,8333,NA,5.80910298951401
"1795",1976,12,"GLENDALE CREEK",NA,NA,NA,NA,NA
"1796",1977,12,"GLENDALE CREEK",NA,NA,NA,NA,NA
"1797",1978,12,"GLENDALE CREEK",2000,8333,1111,NA,-0.587886669902452
"1798",1979,12,"GLENDALE CREEK",10,NA,NA,NA,NA
"1799",1980,12,"GLENDALE CREEK",NA,NA,NA,NA,NA
"1800",1981,12,"GLENDALE CREEK",300,1111,NA,NA,NA
"1801",1982,12,"GLENDALE CREEK",NA,NA,NA,NA,NA
"1802",1983,12,"GLENDALE CREEK",2400,NA,345,0.866057834110302,-1.93967959930468
"1803",1984,12,"GLENDALE CREEK",NA,NA,NA,0.775693911882616,NA
"1804",1985,12,"GLENDALE CREEK",250,NA,1400,0.804617873469269,1.7227665977411
"1805",1986,12,"GLENDALE CREEK",100,345,1061,0.736636297568,2.36179695262589
"1806",1987,12,"GLENDALE CREEK",200,NA,NA,0.620278215303934,NA
"1807",1988,12,"GLENDALE CREEK",50,1400,1563,0.662968422357177,3.44233932499333
"1808",1989,12,"GLENDALE CREEK",350,1061,NA,0.758563000132309,NA
"1809",1990,12,"GLENDALE CREEK",NA,NA,NA,0.551771761004763,NA
"1810",1991,12,"GLENDALE CREEK",500,1563,769,0.610236891943533,0.430482871083452
"1811",1992,12,"GLENDALE CREEK",NA,NA,NA,0.846200576578609,NA
"1812",1993,12,"GLENDALE CREEK",100,NA,123,0.870616228783584,0.207014169384326
"1813",1994,12,"GLENDALE CREEK",200,769,NA,0.688336172661556,NA
"1814",1995,12,"GLENDALE CREEK",140,NA,258,0.41545900740463,0.611317162312313
"1815",1996,12,"GLENDALE CREEK",53,123,NA,0.154973827940401,NA
"1816",1997,12,"GLENDALE CREEK",NA,NA,NA,0.272777956656083,NA
"1817",1998,12,"GLENDALE CREEK",250,258,NA,0.000583078137170725,NA
"1818",1999,12,"GLENDALE CREEK",NA,NA,NA,0.00581807086852831,NA
"1819",2000,12,"GLENDALE CREEK",NA,NA,33.3496392481598,0.000108918915671366,NA
"1820",2001,12,"GLENDALE CREEK",NA,NA,NA,6.58172515066211e-05,NA
"1821",2002,12,"GLENDALE CREEK",NA,NA,NA,0.000110894640181671,NA
"1822",2003,12,"GLENDALE CREEK",32,33.3496392481598,NA,0,NA
"1823",2004,12,"GLENDALE CREEK",NA,NA,NA,8.1251212286391e-05,NA
"1824",2005,12,"GLENDALE CREEK",NA,NA,26.0551271806699,0.00158566847902736,NA
"1825",2006,12,"GLENDALE CREEK",NA,NA,NA,5.56360213756606e-05,NA
"1826",2007,12,"GLENDALE CREEK",NA,NA,NA,0,NA
"1827",2008,12,"GLENDALE CREEK",25,26.0551271806699,NA,2.769197939731e-05,NA
"1828",2009,12,"GLENDALE CREEK",NA,NA,NA,5.19287752240718e-05,NA
"1829",2010,12,"GLENDALE CREEK",NA,NA,NA,0.00888074071042353,NA
"1830",2011,12,"GLENDALE CREEK",NA,NA,NA,0.0142797614832157,NA
"1831",2012,12,"GLENDALE CREEK",NA,NA,NA,7.68815624118097e-05,NA
"1832",2013,12,"GLENDALE CREEK",NA,NA,NA,0.0164482623776054,NA
"1833",2014,12,"GLENDALE CREEK",NA,NA,NA,0.0114891151557245,NA
"1834",2015,12,"GLENDALE CREEK",NA,NA,NA,0.0135595098287899,NA
"1835",2016,12,"GLENDALE CREEK",NA,NA,NA,0.00202795595384339,NA
"1836",2017,12,"GLENDALE CREEK",NA,NA,NA,0.00376400621171083,NA
"1837",1950,12,"HAND CREEK",NA,NA,NA,NA,NA
"1838",1951,12,"HAND CREEK",NA,NA,NA,NA,NA
"1839",1952,12,"HAND CREEK",NA,NA,NA,NA,NA
"1840",1953,12,"HAND CREEK",NA,NA,NA,NA,NA
"1841",1954,12,"HAND CREEK",NA,NA,NA,NA,NA
"1842",1955,12,"HAND CREEK",NA,NA,NA,NA,NA
"1843",1956,12,"HAND CREEK",NA,NA,NA,NA,NA
"1844",1957,12,"HAND CREEK",NA,NA,NA,NA,NA
"1845",1958,12,"HAND CREEK",NA,NA,NA,NA,NA
"1846",1959,12,"HAND CREEK",NA,NA,NA,NA,NA
"1847",1960,12,"HAND CREEK",NA,NA,NA,NA,NA
"1848",1961,12,"HAND CREEK",NA,NA,NA,NA,NA
"1849",1962,12,"HAND CREEK",NA,NA,NA,NA,NA
"1850",1963,12,"HAND CREEK",NA,NA,NA,NA,NA
"1851",1964,12,"HAND CREEK",NA,NA,NA,NA,NA
"1852",1965,12,"HAND CREEK",NA,NA,NA,NA,NA
"1853",1966,12,"HAND CREEK",NA,NA,NA,NA,NA
"1854",1967,12,"HAND CREEK",NA,NA,NA,NA,NA
"1855",1968,12,"HAND CREEK",NA,NA,NA,NA,NA
"1856",1969,12,"HAND CREEK",NA,NA,NA,NA,NA
"1857",1970,12,"HAND CREEK",NA,NA,NA,NA,NA
"1858",1971,12,"HAND CREEK",NA,NA,NA,NA,NA
"1859",1972,12,"HAND CREEK",NA,NA,NA,NA,NA
"1860",1973,12,"HAND CREEK",NA,NA,NA,NA,NA
"1861",1974,12,"HAND CREEK",NA,NA,NA,NA,NA
"1862",1975,12,"HAND CREEK",NA,NA,NA,NA,NA
"1863",1976,12,"HAND CREEK",NA,NA,NA,NA,NA
"1864",1977,12,"HAND CREEK",NA,NA,NA,NA,NA
"1865",1978,12,"HAND CREEK",NA,NA,NA,NA,NA
"1866",1979,12,"HAND CREEK",NA,NA,NA,NA,NA
"1867",1980,12,"HAND CREEK",NA,NA,NA,NA,NA
"1868",1981,12,"HAND CREEK",NA,NA,NA,NA,NA
"1869",1982,12,"HAND CREEK",NA,NA,NA,NA,NA
"1870",1983,12,"HAND CREEK",NA,NA,NA,0.866057834110302,NA
"1871",1984,12,"HAND CREEK",NA,NA,NA,0.775693911882616,NA
"1872",1985,12,"HAND CREEK",NA,NA,NA,0.804617873469269,NA
"1873",1986,12,"HAND CREEK",NA,NA,NA,0.736636297568,NA
"1874",1987,12,"HAND CREEK",NA,NA,NA,0.620278215303934,NA
"1875",1988,12,"HAND CREEK",NA,NA,NA,0.662968422357177,NA
"1876",1989,12,"HAND CREEK",NA,NA,NA,0.758563000132309,NA
"1877",1990,12,"HAND CREEK",NA,NA,NA,0.551771761004763,NA
"1878",1991,12,"HAND CREEK",NA,NA,NA,0.610236891943533,NA
"1879",1992,12,"HAND CREEK",NA,NA,NA,0.846200576578609,NA
"1880",1993,12,"HAND CREEK",NA,NA,NA,0.870616228783584,NA
"1881",1994,12,"HAND CREEK",NA,NA,NA,0.688336172661556,NA
"1882",1995,12,"HAND CREEK",NA,NA,NA,0.41545900740463,NA
"1883",1996,12,"HAND CREEK",NA,NA,NA,0.154973827940401,NA
"1884",1997,12,"HAND CREEK",NA,NA,NA,0.272777956656083,NA
"1885",1998,12,"HAND CREEK",NA,NA,NA,0.000583078137170725,NA
"1886",1999,12,"HAND CREEK",NA,NA,NA,0.00581807086852831,NA
"1887",2000,12,"HAND CREEK",NA,NA,NA,0.000108918915671366,NA
"1888",2001,12,"HAND CREEK",NA,NA,NA,6.58172515066211e-05,NA
"1889",2002,12,"HAND CREEK",NA,NA,NA,0.000110894640181671,NA
"1890",2003,12,"HAND CREEK",NA,NA,NA,0,NA
"1891",2004,12,"HAND CREEK",NA,NA,NA,8.1251212286391e-05,NA
"1892",2005,12,"HAND CREEK",NA,NA,NA,0.00158566847902736,NA
"1893",2006,12,"HAND CREEK",NA,NA,NA,5.56360213756606e-05,NA
"1894",2007,12,"HAND CREEK",NA,NA,NA,0,NA
"1895",2008,12,"HAND CREEK",NA,NA,NA,2.769197939731e-05,NA
"1896",2009,12,"HAND CREEK",NA,NA,NA,5.19287752240718e-05,NA
"1897",2010,12,"HAND CREEK",NA,NA,NA,0.00888074071042353,NA
"1898",2011,12,"HAND CREEK",NA,NA,NA,0.0142797614832157,NA
"1899",2012,12,"HAND CREEK",NA,NA,NA,7.68815624118097e-05,NA
"1900",2013,12,"HAND CREEK",NA,NA,NA,0.0164482623776054,NA
"1901",2014,12,"HAND CREEK",NA,NA,NA,0.0114891151557245,NA
"1902",2015,12,"HAND CREEK",NA,NA,NA,0.0135595098287899,NA
"1903",2016,12,"HAND CREEK",NA,NA,NA,0.00202795595384339,NA
"1904",2017,12,"HAND CREEK",NA,NA,NA,0.00376400621171083,NA
"1905",1950,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1906",1951,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1907",1952,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1908",1953,12,"HAUSKIN CREEK",400,NA,NA,NA,NA
"1909",1954,12,"HAUSKIN CREEK",400,NA,NA,NA,NA
"1910",1955,12,"HAUSKIN CREEK",1500,NA,NA,NA,NA
"1911",1956,12,"HAUSKIN CREEK",750,NA,NA,NA,NA
"1912",1957,12,"HAUSKIN CREEK",750,NA,NA,NA,NA
"1913",1958,12,"HAUSKIN CREEK",1500,NA,NA,NA,NA
"1914",1959,12,"HAUSKIN CREEK",200,NA,NA,NA,NA
"1915",1960,12,"HAUSKIN CREEK",200,NA,NA,NA,NA
"1916",1961,12,"HAUSKIN CREEK",25,NA,NA,NA,NA
"1917",1962,12,"HAUSKIN CREEK",75,NA,NA,NA,NA
"1918",1963,12,"HAUSKIN CREEK",400,NA,NA,NA,NA
"1919",1964,12,"HAUSKIN CREEK",75,NA,NA,NA,NA
"1920",1965,12,"HAUSKIN CREEK",200,NA,NA,NA,NA
"1921",1966,12,"HAUSKIN CREEK",750,NA,NA,NA,NA
"1922",1967,12,"HAUSKIN CREEK",75,NA,NA,NA,NA
"1923",1968,12,"HAUSKIN CREEK",400,NA,NA,NA,NA
"1924",1969,12,"HAUSKIN CREEK",200,NA,NA,NA,NA
"1925",1970,12,"HAUSKIN CREEK",200,NA,NA,NA,NA
"1926",1971,12,"HAUSKIN CREEK",25,NA,NA,NA,NA
"1927",1972,12,"HAUSKIN CREEK",200,NA,NA,NA,NA
"1928",1973,12,"HAUSKIN CREEK",60,NA,NA,NA,NA
"1929",1974,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1930",1975,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1931",1976,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1932",1977,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1933",1978,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1934",1979,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1935",1980,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1936",1981,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1937",1982,12,"HAUSKIN CREEK",NA,NA,NA,NA,NA
"1938",1983,12,"HAUSKIN CREEK",NA,NA,NA,0.866057834110302,NA
"1939",1984,12,"HAUSKIN CREEK",NA,NA,NA,0.775693911882616,NA
"1940",1985,12,"HAUSKIN CREEK",20,NA,NA,0.804617873469269,NA
"1941",1986,12,"HAUSKIN CREEK",NA,NA,NA,0.736636297568,NA
"1942",1987,12,"HAUSKIN CREEK",NA,NA,NA,0.620278215303934,NA
"1943",1988,12,"HAUSKIN CREEK",NA,NA,NA,0.662968422357177,NA
"1944",1989,12,"HAUSKIN CREEK",NA,NA,NA,0.758563000132309,NA
"1945",1990,12,"HAUSKIN CREEK",NA,NA,NA,0.551771761004763,NA
"1946",1991,12,"HAUSKIN CREEK",NA,NA,NA,0.610236891943533,NA
"1947",1992,12,"HAUSKIN CREEK",NA,NA,NA,0.846200576578609,NA
"1948",1993,12,"HAUSKIN CREEK",NA,NA,NA,0.870616228783584,NA
"1949",1994,12,"HAUSKIN CREEK",NA,NA,NA,0.688336172661556,NA
"1950",1995,12,"HAUSKIN CREEK",25,NA,52,0.41545900740463,0.732367893713227
"1951",1996,12,"HAUSKIN CREEK",30,NA,NA,0.154973827940401,NA
"1952",1997,12,"HAUSKIN CREEK",NA,NA,NA,0.272777956656083,NA
"1953",1998,12,"HAUSKIN CREEK",50,52,NA,0.000583078137170725,NA
"1954",1999,12,"HAUSKIN CREEK",NA,NA,NA,0.00581807086852831,NA
"1955",2000,12,"HAUSKIN CREEK",NA,NA,NA,0.000108918915671366,NA
"1956",2001,12,"HAUSKIN CREEK",NA,NA,NA,6.58172515066211e-05,NA
"1957",2002,12,"HAUSKIN CREEK",NA,NA,NA,0.000110894640181671,NA
"1958",2003,12,"HAUSKIN CREEK",NA,NA,NA,0,NA
"1959",2004,12,"HAUSKIN CREEK",NA,NA,NA,8.1251212286391e-05,NA
"1960",2005,12,"HAUSKIN CREEK",NA,NA,NA,0.00158566847902736,NA
"1961",2006,12,"HAUSKIN CREEK",NA,NA,NA,5.56360213756606e-05,NA
"1962",2007,12,"HAUSKIN CREEK",NA,NA,NA,0,NA
"1963",2008,12,"HAUSKIN CREEK",NA,NA,NA,2.769197939731e-05,NA
"1964",2009,12,"HAUSKIN CREEK",NA,NA,NA,5.19287752240718e-05,NA
"1965",2010,12,"HAUSKIN CREEK",NA,NA,NA,0.00888074071042353,NA
"1966",2011,12,"HAUSKIN CREEK",NA,NA,NA,0.0142797614832157,NA
"1967",2012,12,"HAUSKIN CREEK",NA,NA,NA,7.68815624118097e-05,NA
"1968",2013,12,"HAUSKIN CREEK",NA,NA,NA,0.0164482623776054,NA
"1969",2014,12,"HAUSKIN CREEK",NA,NA,NA,0.0114891151557245,NA
"1970",2015,12,"HAUSKIN CREEK",NA,NA,NA,0.0135595098287899,NA
"1971",2016,12,"HAUSKIN CREEK",NA,NA,NA,0.00202795595384339,NA
"1972",2017,12,"HAUSKIN CREEK",NA,NA,NA,0.00376400621171083,NA
"1973",1950,12,"HEALTH LAGOON CREEK",750,NA,NA,NA,NA
"1974",1951,12,"HEALTH LAGOON CREEK",1500,NA,NA,NA,NA
"1975",1952,12,"HEALTH LAGOON CREEK",750,NA,NA,NA,NA
"1976",1953,12,"HEALTH LAGOON CREEK",400,NA,NA,NA,NA
"1977",1954,12,"HEALTH LAGOON CREEK",750,NA,NA,NA,NA
"1978",1955,12,"HEALTH LAGOON CREEK",1500,NA,NA,NA,NA
"1979",1956,12,"HEALTH LAGOON CREEK",750,NA,NA,NA,NA
"1980",1957,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1981",1958,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1982",1959,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1983",1960,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1984",1961,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1985",1962,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1986",1963,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1987",1964,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1988",1965,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1989",1966,12,"HEALTH LAGOON CREEK",25,NA,NA,NA,NA
"1990",1967,12,"HEALTH LAGOON CREEK",25,NA,NA,NA,NA
"1991",1968,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1992",1969,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1993",1970,12,"HEALTH LAGOON CREEK",25,NA,NA,NA,NA
"1994",1971,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1995",1972,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1996",1973,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1997",1974,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1998",1975,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"1999",1976,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"2000",1977,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"2001",1978,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"2002",1979,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"2003",1980,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"2004",1981,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
"2005",1982,12,"HEALTH LAGOON CREEK",NA,NA,NA,NA,NA
