,ANALYSIS_YR,AREA,WATERBODY,SPECIES,POPULATION,POP_ID,ESTIMATE_CLASSIFICATION,ESTIMATE_METHOD,MAX_ESTIMATE,GFE_ID,RUN_TYPE
17593,1965,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,75,863,1
11183,1966,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,25,863,1
17145,1966,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,75,863,1
17374,1966,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,25,863,1
2881,1967,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,25,863,1
7135,1967,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,25,863,1
8365,1967,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,75,863,1
3504,1968,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,75,863,1
5702,1968,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,25,863,1
17121,1968,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,25,863,1
1537,1969,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
7084,1969,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
14481,1969,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,25,863,1
1819,1970,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
8039,1970,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,75,863,1
15537,1970,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
12330,1971,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
14237,1971,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
17120,1971,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
1524,1972,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,25,863,1
12995,1972,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,25,863,1
16500,1972,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,25,863,1
8201,1973,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,500,863,1
10316,1973,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,25,863,1
14553,1973,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,300,863,1
6046,1974,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,100,863,1
10561,1974,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,200,863,1
15699,1974,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,25,863,1
2909,1975,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,100,863,1
4327,1975,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,100,863,1
9506,1975,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,25,863,1
2257,1976,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,75,863,1
12794,1976,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,200,863,1
15684,1977,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,75,863,1
17646,1977,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,75,863,1
11066,1978,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,50,863,1
15969,1978,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,50,863,1
10068,1979,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,50,863,1
15315,1979,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,50,863,1
4116,1980,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,25,863,1
1264,1981,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
8678,1981,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
11329,1981,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
11680,1981,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
11973,1981,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
49,1982,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,25,863,1
961,1982,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
9647,1982,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,200,863,1
423,1983,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
4622,1983,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
10603,1983,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,50,863,1
11662,1983,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
13732,1983,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
672,1985,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,50,863,1
13155,1985,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
2965,1986,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
6778,1986,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
10244,1986,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,200,863,1
14243,1986,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
17134,1986,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,200,863,1
5789,1987,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
11724,1987,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
12164,1987,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
13359,1987,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
11048,1988,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,3500,863,1
11085,1989,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,200,863,1
2975,1990,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
1769,1991,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
7060,1991,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
12802,1991,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
13410,1991,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
14478,1991,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
699,1992,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,NA,863,1
9710,1992,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,NA,863,1
14550,1993,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,6,863,1
14824,1993,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
4892,1994,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,12,863,1
1598,1995,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
2462,1995,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
6669,1995,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
9271,1995,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 2,51003,UNKNOWN,Not Applicable,NA,863,2
14339,1995,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
16065,1995,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
2181,1996,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
2728,1996,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
3602,1996,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,NA,863,1
4775,1996,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
6946,1996,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,100,863,1
14908,1996,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 2,51003,UNKNOWN,Unknown Estimate Method,1,863,2
1873,1997,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
3300,1997,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
4492,1997,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
12366,1997,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 2,51003,UNKNOWN,Not Applicable,NA,863,2
16611,1997,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
18083,1997,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
2714,1998,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Unknown Estimate Method,75,863,1
6377,1998,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
8711,1998,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
14054,1998,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,150,863,1
16050,1998,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 2,51003,UNKNOWN,Not Applicable,NA,863,2
16605,1998,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,4500,863,1
2721,1999,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
3595,1999,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
4500,1999,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
6386,1999,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 2,51003,UNKNOWN,Not Applicable,NA,863,2
8136,1999,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
8395,1999,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,200,863,1
1308,2000,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
3928,2000,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Unknown Estimate Method,100,863,1
4506,2000,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Unknown Estimate Method,150,863,1
8141,2000,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
11242,2000,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 2,51003,UNKNOWN,Not Applicable,NA,863,2
15477,2000,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
1332,2001,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,PRESENCE-ABSENCE (TYPE-6),Insufficient Information,NA,863,1
16062,2001,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
16635,2001,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,RELATIVE ABUNDANCE (TYPE-5),Peak Live + Dead,225,863,1
17183,2001,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
17769,2001,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
3319,2003,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
5308,2003,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
12384,2003,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
8742,2005,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,RELATIVE ABUNDANCE (TYPE-5),Peak Live + Dead,189,863,1
9020,2005,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
9846,2005,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,PRESENCE-ABSENCE (TYPE-6),Insufficient Information,NA,863,1
7587,2006,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
11566,2006,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,PRESENCE-ABSENCE (TYPE-6),Insufficient Information,NA,863,1
12661,2006,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
2488,2007,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
2748,2007,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
11855,2007,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,RELATIVE ABUNDANCE (TYPE-4),Area Under the Curve,27,863,1
12934,2007,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
3943,2008,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
5609,2008,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
6132,2008,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
9031,2008,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
17213,2008,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
1340,2009,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,RELATIVE ABUNDANCE (TYPE-3),Peak Live + Dead,1,863,1
4244,2009,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,RELATIVE ABUNDANCE (TYPE-3),Peak Live + Dead,5,863,1
7886,2009,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
15223,2009,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
18118,2009,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,RELATIVE ABUNDANCE (TYPE-3),Peak Live + Dead,70,863,1
4243,2010,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,RELATIVE ABUNDANCE (TYPE-3),Not Applicable,10,863,1
7590,2010,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,RELATIVE ABUNDANCE (TYPE-3),Peak Live + Dead,26,863,1
9033,2010,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,RELATIVE ABUNDANCE (TYPE-3),Not Applicable,NA,863,1
16925,2010,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,RELATIVE ABUNDANCE (TYPE-3),Not Applicable,NA,863,1
17214,2010,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,RELATIVE ABUNDANCE (TYPE-3),Peak Live + Dead,2,863,1
797,2011,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
3043,2011,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
6696,2011,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,RELATIVE ABUNDANCE (TYPE-5),Peak Live + Dead,2,863,1
6697,2011,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
9035,2011,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,RELATIVE ABUNDANCE (TYPE-4),Peak Live + Dead,183,863,1
3343,2012,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
4247,2012,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
6136,2012,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,RELATIVE ABUNDANCE (TYPE-4),Peak Live + Dead,1360,863,1
8758,2012,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
10138,2012,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,RELATIVE ABUNDANCE (TYPE-4),Peak Live + Dead,129,863,1
2495,2013,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
6140,2013,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
7600,2013,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,RELATIVE ABUNDANCE (TYPE-3),Peak Live + Dead,4,863,1
8760,2013,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,RELATIVE ABUNDANCE (TYPE-3),Peak Live + Dead,50,863,1
15810,2013,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,RELATIVE ABUNDANCE (TYPE-3),Peak Live + Dead,50,863,1
2780,2014,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,RELATIVE ABUNDANCE (TYPE-3),Area Under the Curve,73,863,1
3677,2014,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,RELATIVE ABUNDANCE (TYPE-3),Peak Live + Dead,50,863,1
8811,2014,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
11309,2014,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
11883,2014,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
2543,2015,12,GILFORD CREEK,Sockeye,Gilford Creek (Alert Bay) Sockeye Run 1,51000,UNKNOWN,Not Applicable,NA,863,1
7637,2015,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,UNKNOWN,Not Applicable,NA,863,1
7638,2015,12,GILFORD CREEK,Chinook,Gilford Creek (Alert Bay) Chinook Run 1,51008,UNKNOWN,Not Applicable,NA,863,1
13850,2015,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,UNKNOWN,Not Applicable,NA,863,1
15534,2015,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,UNKNOWN,Not Applicable,NA,863,1
18169,2017,12,GILFORD CREEK,Coho,Gilford Creek (Alert Bay) Coho Run 1,51002,RELATIVE ABUNDANCE (TYPE-5),Not Applicable,5,863,1
18185,2017,12,GILFORD CREEK,Chum,Gilford Creek (Alert Bay) Chum Run 1,51006,PRESENCE-ABSENCE (TYPE-6),Not Applicable,NA,863,1
18203,2017,12,GILFORD CREEK,Pink,Gilford Creek (Alert Bay) Pink Run 1,51004,PRESENCE-ABSENCE (TYPE-6),Not Applicable,NA,863,1
526,1929,12,GLENDALE CREEK,Pink,Glendale Creek (Alert Bay) Pink Run 1,50844,UNKNOWN,Unknown Estimate Method,NA,847,1
2508,1929,12,GLENDALE CREEK,Chum,Glendale Creek (Alert Bay) Chum Run 1,50846,UNKNOWN,Unknown Estimate Method,NA,847,1
6988,1929,12,GLENDALE CREEK,Sockeye,Glendale Creek (Alert Bay) Sockeye Run 1,50840,UNKNOWN,Unknown Estimate Method,NA,847,1
7612,1929,12,GLENDALE CREEK,Coho,Glendale Creek (Alert Bay) Coho Run 1,50842,UNKNOWN,Unknown Estimate Method,NA,847,1
8164,1930,12,GLENDALE CREEK,Chum,Glendale Creek (Alert Bay) Chum Run 1,50846,UNKNOWN,Unknown Estimate Method,NA,847,1
10154,1930,12,GLENDALE CREEK,Sockeye,Glendale Creek (Alert Bay) Sockeye Run 1,50840,UNKNOWN,Unknown Estimate Method,NA,847,1
13241,1930,12,GLENDALE CREEK,Pink,Glendale Creek (Alert Bay) Pink Run 1,50844,UNKNOWN,Unknown Estimate Method,NA,847,1
13542,1930,12,GLENDALE CREEK,Coho,Glendale Creek (Alert Bay) Coho Run 1,50842,UNKNOWN,Unknown Estimate Method,NA,847,1
3356,1931,12,GLENDALE CREEK,Chum,Glendale Creek (Alert Bay) Chum Run 1,50846,UNKNOWN,Unknown Estimate Method,NA,847,1
3666,1931,12,GLENDALE CREEK,Coho,Glendale Creek (Alert Bay) Coho Run 1,50842,UNKNOWN,Unknown Estimate Method,NA,847,1
11282,1931,12,GLENDALE CREEK,Pink,Glendale Creek (Alert Bay) Pink Run 1,50844,UNKNOWN,Unknown Estimate Method,NA,847,1
12128,1931,12,GLENDALE CREEK,Sockeye,Glendale Creek (Alert Bay) Sockeye Run 1,50840,UNKNOWN,Unknown Estimate Method,NA,847,1
8787,1932,12,GLENDALE CREEK,Chum,Glendale Creek (Alert Bay) Chum Run 1,50846,UNKNOWN,Unknown Estimate Method,NA,847,1
